##Adding correction					
## 00302 chopped lc run					
##00703 running simple iteration					
##419702207 corrected for incorrect gti 0 rate					
##01402 ran for chopped 9.79243			
##419600602,802,803,903,1402,1403,2205,2210 dropped due to exposure less than 700s; 701 dropped due to same+0 variation, 401 dropped due to low SNR					
##removed 427900201,203,4279102 are dropped because of exposure less than 700 sec and bad through all the instruments					
LC_File_Path	Period	Chi-square	Date	freq	PErr
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504279/P0504279001/pipeline_output/P050427900101_HE_lcnet_27-250keV_0.05s_all.lc	9.7951	67180	20152	102.0918623	9.15E-06
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504279/P0504279001/pipeline_output/P050427900103_HE_lcnet_27-250keV_0.05s_all.lc	9.79503	47540	20153.04139	102.0925919	2.14E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504279/P0504279001/pipeline_output/P050427900104_HE_lcnet_27-250keV_0.05s_all.lc	9.79501	69780	20153.22361	102.0928003	9.30E-06
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196001/pipeline_output/P050419600101_HE_lcnet_27-250keV_0.05s_all.lc	9.79476	51450	20154	102.0954061	2.30E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196001/pipeline_output/P050419600103_HE_lcnet_27-250keV_0.05s_all.lc	9.79495	10470	20154	102.0934257	1.74E-04
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196001/pipeline_output/P050419600102_HE_lcnet_27-250keV_0.05s_all.lc	9.79491	10260	20154	102.0938426	5.53E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196002/pipeline_output/P050419600201_HE_lcnet_27-250keV_0.05s_all.lc	9.79467	12980	20155.56437	102.0963442	2.87E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196002/pipeline_output/P050419600202_HE_lcnet_27-250keV_0.05s_all.lc	9.79449	63480	20155.76024	102.0982205	2.11E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196003/pipeline_output/P050419600301_HE_lcnet_27-250keV_0.05s_all.lc	9.79445	26650	20156	102.0986375	2.38E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196003/pipeline_output/P050419600302_HE_lcnet_27-250keV_0.05s_all.lc	9.7944	7149	20156	102.0991587	2.35E-04
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196003/pipeline_output/P050419600303_HE_lcnet_27-250keV_0.05s_all.lc	9.79431	48250	20156	102.1000969	4.89E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196004/pipeline_output/P050419600402_HE_lcnet_27-250keV_0.05s_all.lc	9.79405	37850	20157	102.1028073	8.43E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196004/pipeline_output/P050419600403_HE_lcnet_27-250keV_0.05s_all.lc	9.79389	19490	20157	102.1044753	4.73E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196005/pipeline_output/P050419600501_HE_lcnet_27-250keV_0.05s_all.lc	9.79387	17650	20158	102.1046838	1.53E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196005/pipeline_output/P050419600502_HE_lcnet_27-250keV_0.05s_all.lc	9.79389	37610	20158	102.1044753	1.51E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196006/pipeline_output/P050419600601_HE_lcnet_27-250keV_0.05s_all.lc	9.79373	24750	20159	102.1061434	1.90E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196006/pipeline_output/P050419600603_HE_lcnet_27-250keV_0.05s_all.lc	9.79361	6460	20160	102.1073945	2.68E-04
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196007/pipeline_output/P050419600702_HE_lcnet_27-250keV_0.05s_all.lc	9.79328	10120	20161	102.1108352	3.71E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196007/pipeline_output/P050419600703_HE_lcnet_27-250keV_0.05s_all.lc	9.7937	3451	20161	102.1064562	1.75E-04
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196008/pipeline_output/P050419600801_HE_lcnet_27-250keV_0.05s_all.lc	9.7933	16600	20161	102.1106267	1.66E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196009/pipeline_output/P050419600901_HE_lcnet_27-250keV_0.05s_all.lc	9.79319	9073	20162	102.1117736	4.98E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196009/pipeline_output/P050419600902_HE_lcnet_27-250keV_0.05s_all.lc	9.79289	6990	20163	102.1149017	8.96E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196010/pipeline_output/P050419601001_HE_lcnet_27-250keV_0.05s_all.lc	9.79294	11020	20165	102.1143804	2.65E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196011/pipeline_output/P050419601101_HE_lcnet_27-250keV_0.05s_all.lc	9.79283	11820	20166	102.1155274	4.11E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196012/pipeline_output/P050419601201_HE_lcnet_27-250keV_0.05s_all.lc	9.79287	6759	20167	102.1151103	9.29E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196013/pipeline_output/P050419601301_HE_lcnet_27-250keV_0.05s_all.lc	9.79265	13350	20168	102.1174044	1.77E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196015/pipeline_output/P050419601501_HE_lcnet_27-250keV_0.05s_all.lc	9.79253	15010	20170.44658	102.1186558	5.81E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196015/pipeline_output/P050419601502_HE_lcnet_27-250keV_0.05s_all.lc	9.79236	15280	20170.55443	102.1204286	5.91E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196016/pipeline_output/P050419601601_HE_lcnet_27-250keV_0.05s_all.lc	9.79233	2516	20171.17	102.1207414	1.40E-04
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196016/pipeline_output/P050419601602_HE_lcnet_27-250keV_0.05s_all.lc	9.79249	5426	20171.41	102.1190729	2.02E-04
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196016/pipeline_output/P050419601603_HE_lcnet_27-250keV_0.05s_all.lc	9.79265	12470	20171.48	102.1174044	1.04E-04
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196017/pipeline_output/P050419601701_HE_lcnet_27-250keV_0.05s_all.lc	9.79254	5776	20173	102.1185515	2.95E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196018/pipeline_output/P050419601801_HE_lcnet_27-250keV_0.05s_all.lc	9.79252	19720	20174	102.11876	2.00E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196019/pipeline_output/P050419601901_HE_lcnet_27-250keV_0.05s_all.lc	9.79248	4743	20175	102.1191772	4.13E-05
