ExposureID,FilePath,PulsedFraction,PulsedFraction_Error,RMS_PulsedFraction,RMS_PulsedFraction_Error
P050419600101,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600101/LE/P050419600101_LE_pulse_profile_efold_output_same_epoch.fits,0.28138,0.00942,0.17458,0.00172
P050419600102,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600102/LE/P050419600102_LE_pulse_profile_efold_output_same_epoch.fits,0.2377,0.01277,0.1526,0.00231
P050419600201,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600201/LE/P050419600201_LE_pulse_profile_efold_output_same_epoch.fits,0.25613,0.01175,0.15698,0.00216
P050419600202,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600202/LE/P050419600202_LE_pulse_profile_efold_output_same_epoch.fits,0.25244,0.00726,0.16561,0.00132
P050419600301,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600301/LE/P050419600301_LE_pulse_profile_efold_output_same_epoch.fits,0.26887,0.01208,0.1712,0.00223
P050419600302,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600302/LE/P050419600302_LE_pulse_profile_efold_output_same_epoch.fits,0.26088,0.01446,0.14777,0.00263
P050419600303,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600303/LE/P050419600303_LE_pulse_profile_efold_output_same_epoch.fits,0.26159,0.00963,0.16175,0.00175
P050419600402,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600402/LE/P050419600402_LE_pulse_profile_efold_output_same_epoch.fits,0.25063,0.01284,0.15618,0.00234
P050419600501,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600501/LE/P050419600501_LE_pulse_profile_efold_output_same_epoch.fits,0.28558,0.0152,0.16186,0.00282
P050419600502,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600502/LE/P050419600502_LE_pulse_profile_efold_output_same_epoch.fits,0.27938,0.01262,0.16605,0.00232
P050419600601,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600601/LE/P050419600601_LE_pulse_profile_efold_output_same_epoch.fits,0.27186,0.01192,0.16538,0.0022
P050419600602,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600602/LE/P050419600602_LE_pulse_profile_efold_output_same_epoch.fits,0.25782,0.01396,0.15264,0.00254
P050419600701,/home/supremekai/thesis/J0243_6p6124/HXMT/hxmt_efold_output/P050419600701/LE/P050419600701_LE_pulse_profile_efold_output_same_epoch.fits,0.27081,0.01379,0.16468,0.0025
