LC Identifier,Mean Period,Std Dev
P050427900103_HE,9.79503,2.14336e-05
P050427900101_HE,9.7951,9.15423e-06
P050427900102_HE,9.79466,0.000102116
P050427900104_HE,9.79501,9.29516e-06
P050419601201_HE,9.79287,9.28946e-05
P050419601301_HE,9.79265,1.76635e-05
P050419601001_HE,9.79294,2.64877e-05
P050419600703_HE,9.79417,0.000175098
P050419600702_HE,9.79328,3.7081e-05
P050419600701_HE,9.79348,0.0
P050419600601_HE,9.79373,1.90158e-05
P050419600602_HE,9.79339,0.000246753
P050419600603_HE,9.79361,0.000268145
P050419602102_HE,9.79256,6.41872e-05
P050419602101_HE,9.79258,2.23964e-05
P050419601902_HE,9.79253,0.000116542
P050419601903_HE,9.79241,7.32339e-05
P050419601901_HE,9.79248,4.13401e-05
P050419601402_HE,9.78956,0.000112942
P050419601403_HE,9.79221,0.000201465
P050419601401_HE,9.78711,0.000126166
P050419602002_HE,9.79257,2.02781e-05
P050419602001_HE,9.78879,0.00102601
P050419601601_HE,9.79233,0.000140481
P050419601602_HE,9.79249,0.000202285
P050419601603_HE,9.79265,0.000104038
P050419600803_HE,9.79216,0.000536832
P050419600802_HE,9.79439,0.00021839
P050419600801_HE,9.7933,1.66433e-05
P050419600101_HE,9.79476,2.29652e-05
P050419600103_HE,9.79495,0.000174134
P050419600102_HE,9.79491,5.53191e-05
P050419600401_HE,9.7941,0.000114613
P050419600402_HE,9.79405,8.42686e-05
P050419600403_HE,9.79389,4.73329e-05
P050419600902_HE,9.79289,8.9579e-05
P050419600901_HE,9.79319,4.98237e-05
P050419600903_HE,9.79191,0.00157582
P050419601101_HE,9.79283,4.11218e-05
P050419601801_HE,9.79252,1.998e-05
P050419600303_HE,9.79431,4.89183e-05
P050419600302_HE,9.79383,0.000234696
P050419600301_HE,9.79445,2.37823e-05
P050419600502_HE,9.79389,1.50864e-05
P050419600501_HE,9.79387,1.53101e-05
P050419602207_HE,9.79223,0.000158111
P050419602201_HE,9.79256,6.29444e-05
P050419602204_HE,9.79255,6.35279e-05
P050419602203_HE,9.79255,9.96995e-06
P050419602211_HE,9.79243,8.59767e-05
P050419602209_HE,9.79252,4.63983e-05
P050419602205_HE,9.79317,0.000385698
P050419602210_HE,9.79276,0.000427132
P050419602206_HE,9.79257,5.23737e-05
P050419602202_HE,9.79239,7.89265e-05
P050419602208_HE,9.79251,9.15423e-06
P050419601501_HE,9.79253,5.81051e-05
P050419601502_HE,9.79236,5.90745e-05
P050419601701_HE,9.79254,2.9489e-05
P050419600202_HE,9.79449,2.11234e-05
P050419600201_HE,9.79467,2.86984e-05
