LC Identifier,Mean Period,Std Dev
P050427900102_LE,9.79503,4.755e-05
P050427900101_LE,9.79506,3.35529e-05
P050427900104_LE,9.79502,3.26497e-05
P050427900103_LE,9.79499,3.97391e-05
P050419601301_LE,9.79267,4.52593e-05
P050419601001_LE,9.79288,7.47476e-05
P050419600702_LE,9.79351,0.000148231
P050419600701_LE,9.79344,3.76696e-05
P050419600703_LE,9.78618,0.00100737
P050419600603_LE,9.7912,0.00278952
P050419600601_LE,9.79367,5.61765e-05
P050419600602_LE,9.7937,9.48008e-05
P050419602102_LE,9.78909,0.00310649
P050419602101_LE,9.79259,1.02372e-05
P050419601902_LE,9.79249,3.54344e-05
P050419601903_LE,9.79269,0.000386696
P050419601901_LE,9.78952,0.00327386
P050419601403_LE,9.79229,0.000714778
P050419601401_LE,9.79059,0.00271465
P050419601402_LE,9.79327,0.000371466
P050419602001_LE,9.79259,6.18902e-05
P050419602002_LE,9.79259,2.15314e-05
P050419601602_LE,9.79247,9.96755e-05
P050419601603_LE,9.79275,0.000441024
P050419600802_LE,9.79326,7.15765e-05
P050419600801_LE,9.79324,0.000103356
P050419600803_LE,9.79309,0.00190723
P050419600103_LE,9.79434,0.000318356
P050419600102_LE,9.79473,7.18498e-05
P050419600101_LE,9.79482,2.20182e-05
P050419600401_LE,9.79405,8.39607e-05
P050419600402_LE,9.79407,4.52504e-05
P050419600403_LE,9.79356,0.000265046
P050419600903_LE,9.79102,0.00196864
P050419600901_LE,9.79312,4.7299e-05
P050419600902_LE,9.79313,8.08109e-05
P050419601101_LE,9.79295,5.09804e-05
P050419601801_LE,9.79245,6.83037e-05
P050419600302_LE,9.79444,0.000100526
P050419600303_LE,9.79431,3.95171e-05
P050419600301_LE,9.79432,2.90379e-05
P050419600502_LE,9.79371,9.21683e-05
P050419600501_LE,9.79369,8.34877e-05
P050419602203_LE,9.79256,2.79285e-06
P050419602209_LE,9.79241,0.000220914
P050419602205_LE,9.79234,0.00013669
P050419602208_LE,9.79249,9.94987e-06
P050419602202_LE,9.7925,4.17684e-05
P050419602201_LE,9.79263,7.68258e-05
P050419602206_LE,9.7925,6.00417e-05
P050419602210_LE,9.79236,0.000138698
P050419602211_LE,9.79252,0.000102842
P050419602207_LE,9.7926,1.82483e-05
P050419602204_LE,9.79241,0.000207109
P050419601501_LE,9.79251,2.70074e-05
P050419601502_LE,9.79247,3.4389e-05
P050419601701_LE,9.79065,0.00250459
P050419600201_LE,9.79438,7.01926e-05
P050419600202_LE,9.79446,2.54008e-05
