LC_File_Path	Period	Chi-square	Date	freq	PErr
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196001/pipeline_output/P050419600101_LE_lcnet_2-10keV_0.05s.lc	9.79482	10210	20154	102.0929045	2.20182E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196001/pipeline_output/P050419600102_LE_lcnet_2-10keV_0.05s.lc	9.79473	4372	20154	102.0929045	7.18498E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196001/pipeline_output/P050419600103_LE_lcnet_2-10keV_0.05s.lc	9.79434	4448	20154	102.1033286	0.000318356
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196002/pipeline_output/P050419600201_LE_lcnet_2-10keV_0.05s.lc	9.79438	5297	20155	102.1033286	7.01926E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196002/pipeline_output/P050419600202_LE_lcnet_2-10keV_0.05s.lc	9.79446	15670	20155	102.0929045	2.54008E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196003/pipeline_output/P050419600301_LE_lcnet_2-10keV_0.05s.lc	9.79432	5916	20156	102.1033286	2.90379E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196003/pipeline_output/P050419600302_LE_lcnet_2-10keV_0.05s.lc	9.79444	3173	20156	102.1033286	0.000100526
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196003/pipeline_output/P050419600303_LE_lcnet_2-10keV_0.05s.lc	9.79431	8516	20156	102.1033286	3.95171E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196004/pipeline_output/P050419600401_LE_lcnet_2-10keV_0.05s.lc	9.79405	3778	20157	102.1033286	8.39607E-05
/home/iist/aniket_data/hxmt_raw_data/decompressed_data//P0504196/P0504196004/pipeline_output/P050419600402_LE_lcnet_2-10keV_0.05s.lc	9.79407	4466	20157	102.1033286	4.52504E-05
