Comments	ID	MJD	Energy	2.09848E+22	flux_og_90uncertain	flux_90_uncertain_edited	flux_low	flux_high	flux_err	flux	Lumin	Model	nH	index_1	norm_1	highecut	folding_energy	index_2	norm_2	const_1	const_2	const_3	chi sq/dof	index_1_err	norm_1_err	highecut_err	folding_energy_err	index_2_err	norm_2_err	const_1_err	const_2_err	const_3_err
	P050427900101  	60152	28 keV	8	(9.672e-09 - 9.721e-09)	9.672e-09,9.721e-09	9.67E-09	9.72E-09	(-2.54999999999991E-11,2.35000000000002E-11)	9.70E-09	5.36E+37	cutoffpl	1.1	1.16842	1.20029	26.4887	NaN	NaN	NaN	1	1.02072	NaN	1325.46/1164	(-0.00979974, 0.00978233)	(-0.0133868, 0.0135077)	(-0.567506, 0.591471)	NaN	NaN	NaN	NaN	(-0.0068567, 0.00691248)	NaN
	P050427900103  	60153.04139	28 keV		(1.018e-08 - 1.023e-08)	1.018e-08,1.023e-08	1.02E-08	1.02E-08	(-2.90000000000015E-11,2.0999999999999E-11)	1.02E-08	5.65E+37	cutoffpl	1.1	1.21645	1.34112	28.5457	NaN	NaN	NaN	1	1.02276	NaN	1306.11/1164	(-0.0081793, 0.00816712)	(-0.0122702, 0.0123634)	(-0.590365, 0.614562)	NaN	NaN	NaN	NaN	(-0.00604194, 0.00608379)	NaN
	P050427900104  	60153.22361	28 keV		(9.754e-09 - 9.800e-09)	9.754e-09,9.800e-09	9.75E-09	9.80E-09	(-2.32000000000005E-11,2.28000000000004E-11)	9.78E-09	5.41E+37	cutoffpl	1.1	1.20025	1.26361	27.3105	NaN	NaN	NaN	1	1.0353	NaN	1350.16/1164	(-0.00910554, 0.00909071)	(-0.0130184, 0.013128)	(-0.57775, 0.601851)	NaN	NaN	NaN	NaN	(-0.006575, 0.0066248)	NaN
	P050419600101  	60154	28 keV		(9.449e-09 - 9.483e-09)	9.449e-09,9.483e-09	9.45E-09	9.48E-09	(-1.61999999999992E-11,1.77999999999997E-11)	9.47E-09	5.24E+37	cutoffpl	1.1	1.17677	1.18504	26.6452	NaN	NaN	NaN	1	1.02237	NaN	1277.82/1164	(-0.010371, 0.0103509)	(-0.013877, 0.0140103)	(-0.642178, 0.672808)	NaN	NaN	NaN	NaN	(-0.00743205, 0.00749522)	NaN
	P050419600102  	60154	28 keV		(9.350e-09 - 9.393e-09)	9.350e-09,9.393e-09	9.35E-09	9.39E-09	(-2.43000000000004E-11,1.87000000000004E-11)	9.37E-09	5.18E+37	cutoffpl	1.1	1.19395	1.18809	28.6247	NaN	NaN	NaN	1	1.03912	NaN	1308.54/1164	(-0.0135659, 0.0135319)	(-0.0181835, 0.0184116)	(-0.937035, 0.999268)	NaN	NaN	NaN	NaN	(-0.00985835, 0.00997017)	NaN
	P050419600201  	60155	28 keV		(8.998e-09 - 9.032e-09)	8.998e-09,9.032e-09	9.00E-09	9.03E-09	(-1.69999999999994E-11,1.69999999999994E-11)	9.02E-09	4.99E+37	cutoffpl	1.1	1.16603	1.11464	26.1092	NaN	NaN	NaN	1	1.03035	NaN	1242.61/1164	(-0.0121146, 0.0120888)	(-0.0153701, 0.0155422)	(-0.665401, 0.699182)	NaN	NaN	NaN	NaN	(-0.00844994, 0.00853517)	NaN
	P050419600202  	60155	28 keV		(8.976e-09 - 8.999e-09)	8.976e-09,8.999e-09	8.98E-09	9.00E-09	(-1.20999999999992E-11,1.09000000000004E-11)	8.99E-09	4.97E+37	cutoffpl	1.11	1.16228	1.11601	25.0119	NaN	NaN	NaN	1	1.0489	NaN	1466.24/1164	(-0.00796313, 0.00795113)	(-0.0100462, 0.0101189)	(-0.42424, 0.438223)	NaN	NaN	NaN	NaN	(-0.00578388, 0.00582184)	NaN
	P050419600301  	60156	28 keV		(8.487e-09 - 8.522e-09)	8.487e-09,8.522e-09	8.49E-09	8.52E-09	(-1.81999999999998E-11,1.68000000000002E-11)	8.51E-09	4.70E+37	cutoffpl	1.11	1.13645	1.02432	23.9434	NaN	NaN	NaN	1	1.0573	NaN	1254.41/1164	(-0.0127318, 0.0127)	(-0.0146713, 0.0148419)	(-0.641345, 0.675209)	NaN	NaN	NaN	NaN	(-0.00939386, 0.00949062)	NaN
	P050419600302  	60156	28 keV		(8.597e-09 - 8.631e-09)	8.597e-09,8.631e-09	8.60E-09	8.63E-09	(-1.86999999999987E-11,1.53000000000001E-11)	8.62E-09	4.77E+37	cutoffpl	1.11	1.12644	1.01277	24.8954	NaN	NaN	NaN	1	1.05335	NaN	1148.74/1060	(-0.0156444, 0.0155832)	(-0.0169146, 0.0171405)	(-0.984179, 1.06462)	NaN	NaN	NaN	NaN	(-0.0108559, 0.0109821)	NaN
	P050419600303  	60156	28 keV		(9.026e-09 - 9.054e-09)	9.026e-09,9.054e-09	9.03E-09	9.05E-09	(-1.36000000000009E-11,1.43999999999995E-11)	9.04E-09	5.00E+37	cutoffpl	1.11	1.1368	1.08952	23.9181	NaN	NaN	NaN	1	1.02941	NaN	1341.42/1164	(-0.00996624, 0.00994741)	(-0.0122909, 0.0124026)	(-0.481979, 0.500914)	NaN	NaN	NaN	NaN	(-0.00705399, 0.00711173)	NaN
	P050419600401  	60157	28 keV		(8.578e-09 - 8.614e-09)	8.578e-09,8.614e-09	8.58E-09	8.61E-09	(-1.95999999999994E-11,1.64000000000001E-11)	8.60E-09	4.76E+37	cutoffpl	1.1	1.11446	1.00265	23.6232	NaN	NaN	NaN	1	1.01211	NaN	1268.99/1164	(-0.0136838, 0.013648)	(-0.0154402, 0.0156342)	(-0.65656, 0.692701)	NaN	NaN	NaN	NaN	(-0.00959028, 0.00969806)	NaN
	P050419600402  	60157	28 keV		(8.633e-09 - 8.662e-09)	8.633e-09,8.662e-09	8.63E-09	8.66E-09	(-1.50999999999993E-11,1.39000000000005E-11)	8.65E-09	4.78E+37	cutoffpl	1.11	1.10543	1.0038	22.7857	NaN	NaN	NaN	1	1.03154	NaN	1230.61/1164	(-0.0114016, 0.0113788)	(-0.013004, 0.013142)	(-0.484703, 0.504934)	NaN	NaN	NaN	NaN	(-0.0079476, 0.00802326)	NaN
	P050419600501  	60158	28 keV		(8.428e-09 - 8.472e-09)	8.428e-09,8.472e-09	8.43E-09	8.47E-09	(-2.37000000000011E-11,2.02999999999992E-11)	8.45E-09	4.67E+37	cutoffpl	1.1	1.11785	0.978559	23.8877	NaN	NaN	NaN	1	1.06435	NaN	1253.74/1164	(-0.0136668, 0.013635)	(-0.015257, 0.0154519)	(-0.618896, 0.65076)	NaN	NaN	NaN	NaN	(-0.00970811, 0.00981798)	NaN
	P050419600502  	60158	28 keV		(8.573e-09 - 8.602e-09)	8.573e-09,8.602e-09	8.57E-09	8.60E-09	(-1.69000000000006E-11,1.20999999999992E-11)	8.59E-09	4.75E+37	cutoffpl	1.1	1.122	1.016	23.4815	NaN	NaN	NaN	1	1.01923	NaN	1359.96/1164	(-0.0113393,0.0113153)	(-0.0130208,0.0131553)	(-0.52661,0.549734)	NaN	NaN	NaN	NaN	(-0.00793196,0.00800545)	NaN
	P050419600601  	60159	28 keV		(8.374e-09 - 8.404e-09)	8.374e-09,8.404e-09	8.37E-09	8.40E-09	(-1.36000000000009E-11,1.64000000000001E-11)	8.39E-09	4.64E+37	cutoffpl	1.11	1.09357	0.961942	22.178	NaN	NaN	NaN	1	1.03526	NaN	1350.58/1164	(-0.010791, 0.0107704)	(-0.0118239, 0.0119419)	(-0.434149, 0.450689)	NaN	NaN	NaN	NaN	(-0.00747012, 0.00753595)	NaN
90% flux reported	P050419600701  	60160	28 keV		(7.978e-09 - 8.031e-09)	7.978e-09,8.031e-09	7.98E-09	8.03E-09	(-2.72000000000001E-11,2.57999999999988E-11)	8.01E-09	4.43E+37	cutoffpl	1.11	1.08286	0.911747	21.3225	NaN	NaN	NaN	1	1.059	NaN	1166.76/1164	(-0.0124916, 0.0124633)	(-0.0128762, 0.0130249)	(-0.48089, 0.502035)	NaN	NaN	NaN	NaN	(-0.00898347, 0.00907495)	NaN
	P050419600702  	60161	28 keV		(8.156e-09 - 8.229e-09)	8.156e-09,8.229e-09	8.16E-09	8.23E-09	(-3.8499999999999E-11,3.45000000000011E-11)	8.19E-09	4.53E+37	cutoffpl	1.1	1.08107	0.926284	21.7273	NaN	NaN	NaN	1	1.02313	NaN	1152/1164	(-0.016774,0.01672)	(-0.0175817,0.0178521)	(-0.669132,0.709976)	NaN	NaN	NaN	NaN	(-0.011645,0.0118052)	NaN
	P050419600703  	60161	28 keV		(7.610e-09 - 7.710e-09)	7.610e-09,7.710e-09	7.61E-09	7.71E-09	(-5.42999999999997E-11,4.56999999999995E-11)	7.66E-09	4.24E+37	cutoffpl	1.1	1.02578	0.807059	20.4226	NaN	NaN	NaN	1	1.03758	NaN	983/1030	 (-0.0243087,0.0242006)	(-0.0223324,0.02284)	(-0.797159,0.860136)	NaN	NaN	NaN	NaN	 (-0.0165313,0.0168594)	NaN
