## Comments 
## initial are adjusted for: 112 to 140, 145-147, 282-284 taken from 1e-5 precision
## other from 9.80 guess and 1e-4 precision
## Make a filter of chisquare> 1200 low chi-square pulsations are not recovered well above noise
LC_File_Path	Period	Chi-square	TSTARTI
6050390202	9.8005	477.0499573	20045
6050390203	9.8178	220.485321	20046
6050390204	9.8183	205.3253479	20047
6050390206	9.7533	7.84E+01	20049
6050390212	9.7738	1.34E+02	20055
6050390219	9.7841	1.54E+02	20062
6050390220	9.802	117.8740692	20063
6050390221	9.8184	139.4595032	20064
6050390222	9.7578	131.9914246	20065
6050390223	9.7837	98.07913208	20066
6050390224	9.8333	576.112915	20067
6050390225	9.7693	105.7002716	20068
6050390226	9.7538	215.8733521	20069
6050390227	9.80076	21747.14844	20112
6050390228	9.80069	14779.15527	20113
6050390229	9.80057	20520.3457	20114
6050390230	9.80043	19369.66602	20115
6050390231	9.80052	24025.91992	20116
6050390232	9.80042	76552.55469	20117
6050390233	9.80037	87348.22656	20118
6050390234	9.80032	88561.95313	20119
6050390235	9.80028	68626.14844	20120
6050390236	9.80023	42482.25	20121
6050390237	9.80011	96319.02344	20122
6050390238	9.79997	71713.32031	20123
6050390239	9.7999	42229.23047	20124
6050390240	9.79962	34699.28516	20125
6050390241	9.79907	16821.08984	20126
6050390242	9.79903	24582.83789	20127
6050390243	9.79882	29184.80078	20128
6050390244	9.79833	30018.36719	20130
6050390246	9.79933	6893.750488	20134
6050390247	9.79506	27098.13672	20140
6050390248	9.7963	72942.11719	20141
6050390249	9.7928	10493.54785	20142
6050390250	9.7982	27272.95117	20143
6050390251	9.7959	42826.21094	20144
6050390252	9.79583	46641.42188	20145
6050390253	9.79577	34494.05078	20146
6050390254	9.79568	53572.87891	20147
6050390255	9.7926	17490.27539	20168
6050390256	9.7926	44085.875	20169
6050390257	9.7882	21243.82227	20170
6050390258	9.7925	20294.95703	20171
6050390259	9.7896	9590.070313	20172
6050390261	9.7925	1.71E+04	20174
6050390262	9.7925	9135.617188	20175
6050390263	9.792	5042.084473	20176
6050390264	9.7883	5010.484863	20177
6050390265	9.7925	3017.477783	20179
6050390266	9.7921	3536.679932	20181
6050390267	9.7924	3418.015137	20182
6050390268	9.7905	1428.519043	20183
6050390269	9.8029	1736.382813	20184
6050390270	9.7921	1719.87793	20185
6050390272	9.7919	1957.946655	20187
6050390273	9.7747	1088.808838	20188
6050390276	9.7918	2721.217529	20192
6050390277	9.7909	696.5169678	20193
6050390278	9.7946	434.0081787	20194
6050390279	9.7918	1396.423218	20195
6050390280	9.7748	884.4578247	20197
6050390281	9.792	874.7061157	20199
6050390282	9.80217	319.3291931	20201
6050390283	9.79493	336.3910522	20202
6050390284	9.79527	609.6703491	20203
