comments,Flux (0.8-10.0),Lumin,Chis-qaure for periodicity,MJD,Obs ID,Continuum Model Extra,nH,nh_low,nh_hi,PI,pi_low,pi_hi,norm,norm_low,norm_hi,kT,kt_low,kt_hi,bbodyrad norm (disc radius proxy),bbnorm_low,bbnorm_hi,bbrad,bbrad_low,bbrad_hi,lineE,line_low,line_hi,lineSigma,sigma_low,sigma_hi,reduced/chi-sq
,8.4952E-09,4.69865E+37,21747.14844,60112.00,6050390227,TBabs(powerlaw+gaussian),1.13665,-0.00977,0.00990,1.16552,-0.00940,0.00973,0.730308,-0.00906,0.00930,0,0,0,0,0,,0,0,0,6.46117,-0.10841,0.10880,0.453943,-0.10781,0.15100,97.06/140
line cant be constrained 6.55 keV min,9.0176E-09,4.98758E+37,14779.15527,60113.00,6050390228,TBabs(powerlaw+bbodyrad+gaussian),1.12165,-0.0198162,0.0181201,1.15475,-0.0285642,0.0272733,0.753018,-0.0387993,0.0375901,0.546347, -0.0980482,0.0899253,139.347, -90.0561,108.25,64.4340528,-2.593840343,3.117870052,6.63043,-0.0796633,0.0801496,0.317899,-0.0741271,0.104844,122.09/137
,9.3261E-09,5.15821E+37,20520.3457,60114.00,6050390229,TBabs(powerlaw+bbodyrad+gaussian),1.06658,-0.02104,0.02037,1.13817,-0.02735,0.02656,0.749686,-0.03870,0.03893,0.596078,-0.04778,0.04356,224.636,-68.4837,73.2032,103.8716864,-1.553554362,1.660616331,6.52649,-0.08343,0.07849,0.282674,-0.08994,0.13873,119.37/139
,1.1244E-08,6.21899E+37,19369.66602,60115.00,6050390230,TBabs(powerlaw+bbodyrad+gaussian),1.11952,-0.0189684,0.0185082,1.20219,-0.027947,0.0272261,0.983629, -0.0500654,0.0506402,0.544415,-0.0358841,0.0329487,482.08,-119,127.703,222.913792,-1.842749582,1.977518066,6.48094,-0.0732502,0.0677112,0.205547,-0.0686499,0.104237,101.71/140
,1.1514E-08,6.36833E+37,24025.91992,60116.00,6050390231,TBabs(powerlaw+bbodyrad+gaussian),1.13368,-0.01773,0.01728,1.24728,-0.02615,0.02558,1.07898,-0.05100,0.05148,0.537297,-0.03673,0.03415,486.34,-126.521,138.228,224.883616,-1.950614902,2.131105481,6.59433,-0.09728,0.10515,0.317797,-0.11995,0.16341,99.06/142
,1.2025E-08,6.65096E+37,76552.55469,60117.00,6050390232,TBabs(powerlaw+bbodyrad+gaussian),1.11852,-0.01390,0.01366,1.25833,-0.02047,0.02009,1.14058,-0.04430,0.04475,0.569005,-0.02987,0.02814,437.849,-93.6372,98.7832,202.4613776,-1.52147617,1.605091617,6.53692,-0.06664,0.06530,0.289781,-0.06673,0.08980,106.16/152
gaussian width cant be constrained,1.1876E-08,6.56855E+37,87348.22656,60118.00,6050390233,TBabs(powerlaw+bbodyrad+gaussian),1.12783,-0.01311,0.01268,1.26516,-0.01857,0.01796,1.14562,-0.04009,0.03972,0.535287,-0.03121,0.02917,477.927,-102.907,112.922,220.9934448,-1.600453467,1.75621101,6.52402,-0.05375,0.05333,0.200000 (frozen),0,,122.21/153
,1.2678E-08,7.01213E+37,88561.95313,60119.00,6050390234,TBabs(powerlaw+bbodyrad+gaussian),1.12083,-0.0135694,0.0132457,1.27157,-0.019682,0.0192726,1.21325,-0.0462764,0.0463297,0.57972,-0.0313862,0.0299227,407.293, -91.444,96.2256,188.3322832,-1.540567242,1.621123389,6.48907,-0.0822171,0.077081,0.334316,-0.107896,0.150369,118.91/154
,1.2911E-08,7.141E+37,68626.14844,60120.00,6050390235,TBabs(powerlaw+gaussian),1.19704,-0.00840,0.00848,1.36925,-0.00709,0.00722,1.48403,-0.01496,0.01522,0,0,0,0,0,,0,0,0,6.57844,-0.06739,0.07085,0.313467,-0.07224,0.09457,117.10/150
0.5 chi square regimes from here,1.3493E-08,7.4629E+37,42482.25,60121.00,6050390236,TBabs(powerlaw+gaussian),1.20086,-0.00890,0.00903,1.37738,-0.00778,0.00812,1.56791,-0.01686,0.01735,0,0,0,0,0,,0,0,0,6.6042,-0.08869,0.08152,0.340933,-0.09219,0.14722,121.75/146
,1.3783E-08,7.6233E+37,96319.02344,60122.00,6050390237,TBabs(powerlaw+gaussian),1.19561,-0.00849,0.00856,1.37377,-0.00681,0.00692,1.59343,-0.01573,0.01599,0,0,0,0,0,,0,0,0,6.62025,-0.05905,0.06200,0.309738,-0.06474,0.07999,139.03/151
,1.4671E-08,8.11445E+37,71713.32031,60123.00,6050390238,TBabs(powerlaw+gaussian),1.2073,-0.00822,0.00828,1.38502,-0.00697,0.00712,1.72435,-0.01714,0.01742,0,0,0,0,0,,0,0,0,6.57918,-0.07726,0.07471,0.306765,-0.08383,0.12546,142.44/151
