ObsID	RMS_PF	PF
6050390250	0.110325	0.184040
6050390241	0.128442	0.198806
6050390262	0.095236	0.165088
6050390284	0.097123	0.174130
6050390233	0.110703	0.158282
6050390227	nan	nan
6050390222	0.466558	0.847083
6050390255	0.088606	0.134878
6050390234	0.101193	0.155186
6050390273	0.139957	0.254837
6050390226	0.178628	0.368889
6050390278	0.100020	0.178428
6050390258	0.055232	0.094346
6050390252	0.033099	0.068425
6050390202	0.126714	0.220127
6050390212	nan	nan
6050390203	0.202902	0.416468
6050390283	0.127620	0.250940
6050390268	0.114388	0.260458
6050390281	0.117456	0.201465
6050390247	0.137788	0.210666
6050390257	0.067823	0.123636
6050390231	0.130398	0.181014
6050390243	0.112585	0.176769
6050390265	0.121118	0.241710
6050390282	0.125115	0.304733
6050390277	0.115689	0.219971
6050390263	0.126364	0.230544
6050390236	0.124091	0.173446
6050390264	0.075104	0.174926
6050390237	0.126369	0.174349
6050390219	0.432019	0.857143
6050390216	nan	nan
6050390230	0.135866	0.234979
6050390228	nan	nan
6050390240	0.134016	0.194698
6050390266	0.126666	0.274821
6050390270	0.049946	0.104085
6050390279	0.102483	0.181084
6050390221	nan	nan
6050390276	0.102735	0.155123
6050390224	0.147901	0.327520
6050390256	0.098785	0.147520
6050390261	0.055204	0.100627
6050390242	0.136899	0.198448
6050390253	0.188341	0.310438
6050390229	0.142665	0.237098
6050390244	0.127026	0.186765
6050390204	0.204672	0.446403
6050390251	0.144484	0.212273
6050390280	0.111997	0.188407
6050390239	0.135502	0.193437
6050390217	nan	nan
6050390254	0.074351	0.123644
6050390235	0.125004	0.177158
6050390249	0.134297	0.203658
6050390232	0.110160	0.150122
