ObsID	RMS_PF	PF	Date
6050390202	0.132967	0.22699	20045
6050390203	0.137782	0.242843	20046
6050390204	0.151656	0.298704	20047
6050390206	0.195965	0.418598	20049
6050390212	0.210905	0.505343	20055
6050390216	0.221272	0.438178	20059
6050390219	0.246659	0.542279	20062
6050390221	0.1814	0.38843	20064
6050390222	0.221586	0.503907	20065
6050390223	0.191461	0.415094	20066
6050390224	0.150387	0.334203	20067
6050390225	0.256511	0.554779	20068
6050390226	0.145395	0.297487	20069
6050390227	0.140359	0.220808	20112
6050390228	0.138104	0.202631	20113
6050390229	0.137319	0.194817	20114
6050390230	0.12911	0.189644	20115
6050390231	0.130276	0.16818	20116
6050390232	0.131464	0.170723	20117
6050390233	0.13128	0.174681	20118
6050390234	0.132924	0.181567	20119
6050390235	0.13184	0.179469	20120
6050390236	0.130638	0.182937	20121
6050390237	0.128779	0.181333	20122
6050390238	0.13707	0.194961	20123
6050390239	0.13785	0.194508	20124
6050390240	0.13886	0.196791	20125
6050390241	0.128093	0.186699	20126
6050390242	0.132389	0.200374	20127
6050390243	0.137832	0.193495	20128
6050390244	0.134849	0.188393	20130
6050390246	0.136543	0.191434	20134
6050390247	0.138252	0.197245	20140
6050390248	0.137154	0.196019	20141
6050390249	0.136837	0.19922	20142
6050390250	0.137135	0.203489	20143
6050390251	0.144043	0.207939	20144
6050390252	0.138647	0.198681	20145
6050390253	0.166146	0.266866	20146
6050390254	0.147553	0.226328	20147
6050390255	0.131977	0.207885	20168
6050390256	0.135783	0.208089	20169
6050390257	0.135552	0.225307	20170
6050390258	0.127969	0.21659	20171
6050390259	0.141211	0.23424	20172
6050390261	0.130869	0.216246	20174
6050390262	0.128851	0.237689	20175
6050390263	0.128021	0.230249	20176
6050390264	0.130631	0.246187	20177
6050390265	0.12082	0.225139	20179
6050390266	0.126386	0.272186	20181
6050390267	0.123518	0.261474	20182
6050390268	0.114069	0.277467	20183
6050390269	0.12806	0.30572	20184
6050390270	0.115333	0.247927	20185
6050390272	0.132321	0.247389	20187
6050390273	0.137976	0.24053	20188
6050390276	0.125338	0.220818	20192
6050390277	0.118827	0.207638	20193
6050390278	0.115394	0.234375	20194
6050390279	0.10622	0.175824	20195
6050390280	0.119886	0.219574	20197
6050390281	0.120499	0.215582	20199
6050390282	0.126328	0.258936	20201
6050390283	0.129105	0.242573	20202
6050390284	0.140997	0.244893	20203
